Rider Id,No_Of_Orders,Age,Average_Rating,No_of_Ratings
Rider_Id_15,2316,873,13.9,552
Rider_Id_553,3670,2015,13.5,1193
Rider_Id_873,3515,2286,14.6,1042
Rider_Id_837,37,398,11.1,6
Rider_Id_691,249,399,14.8,23
Rider_Id_346,2396,1860,14.4,594
Rider_Id_296,3264,2005,13.9,1278
Rider_Id_197,3067,1988,13.8,1039
Rider_Id_530,1947,1531,14.3,663
Rider_Id_513,178,490,13,24
Rider_Id_686,799,410,13.2,46
Rider_Id_758,81,385,15,18
Rider_Id_377,484,381,13.5,59
Rider_Id_104,215,2012,15,6
Rider_Id_34,20,378,15,5
Rider_Id_556,4,378,0,1
Rider_Id_277,148,376,14.6,14
Rider_Id_601,27,377,15,4
Rider_Id_772,99,550,15,8
Rider_Id_540,134,378,13.7,22
Rider_Id_869,1972,1111,12.9,654
Rider_Id_696,37,370,13.5,8
Rider_Id_468,355,371,14.1,36
Rider_Id_860,5,448,15,2
Rider_Id_311,192,368,14.4,11
Rider_Id_953,1270,367,14.4,131
Rider_Id_225,28,366,11.1,7
Rider_Id_825,2009,1760,14,668
Rider_Id_433,27,362,13.5,5
Rider_Id_426,2113,1875,14,668
Rider_Id_411,903,356,14.2,108
Rider_Id_590,202,355,14.8,30
Rider_Id_605,57,379,14.3,8
Rider_Id_0,3048,2570,14,512
Rider_Id_959,275,379,13.7,26
Rider_Id_947,65,379,3,6
Rider_Id_645,4317,2061,13.7,1094
Rider_Id_863,913,354,13.6,89
Rider_Id_168,708,357,12.9,59
Rider_Id_887,5,352,15,3
Rider_Id_776,2158,1891,14.1,694
Rider_Id_91,2069,2103,14,649
Rider_Id_198,3009,1922,13.8,884
Rider_Id_883,282,353,14,23
Rider_Id_681,2572,1684,14.2,818
Rider_Id_678,292,349,15,39
Rider_Id_767,239,2699,11.1,6
Rider_Id_488,2439,1985,14.4,656
Rider_Id_603,88,338,11.1,6
Rider_Id_483,53,339,15,13
Rider_Id_152,63,338,15,5
Rider_Id_339,20,338,15,3
Rider_Id_856,396,339,13.6,69
Rider_Id_724,41,340,15,7
Rider_Id_448,1220,339,14.6,119
Rider_Id_378,298,336,14.1,31
Rider_Id_545,130,339,14.4,10
Rider_Id_8,497,341,14.1,103
Rider_Id_824,55,338,12.9,14
Rider_Id_169,13,329,15,2
Rider_Id_461,60,339,15,14
Rider_Id_262,99,2282,15,5
Rider_Id_385,2440,2190,14.4,544
Rider_Id_430,2825,1990,13.8,655
Rider_Id_154,197,328,13.7,19
Rider_Id_372,77,328,13.5,16
Rider_Id_955,2595,1943,13.8,746
Rider_Id_127,264,338,12.6,21
Rider_Id_389,3219,2111,14,1230
Rider_Id_459,326,321,13.3,39
Rider_Id_797,1898,2386,14.7,431
Rider_Id_341,467,315,13.3,58
Rider_Id_61,419,312,13.3,61
Rider_Id_922,7717,2642,14.9,83
Rider_Id_348,3074,2166,13.8,894
Rider_Id_688,28,307,15,7
Rider_Id_830,903,1992,14.6,254
Rider_Id_716,20,306,15,6
Rider_Id_885,192,308,13.2,21
Rider_Id_17,24,307,15,4
Rider_Id_529,3,307,0,1
Rider_Id_599,3117,2255,13.7,878
Rider_Id_44,9,307,0,1
Rider_Id_291,1209,305,14.1,145
Rider_Id_59,32,336,0,1
Rider_Id_245,643,307,13.9,58
Rider_Id_564,626,307,13.5,54
Rider_Id_318,293,305,14.5,36
Rider_Id_563,15,309,15,5
Rider_Id_604,13,300,0,0
Rider_Id_657,18,308,0,0
Rider_Id_763,235,307,13.7,27
Rider_Id_278,36,296,12,3
Rider_Id_814,4767,1943,14.1,1451
Rider_Id_106,958,307,13.2,99
Rider_Id_119,1208,300,14.3,139
Rider_Id_118,150,296,14.7,30
Rider_Id_653,576,1822,12.7,159
Rider_Id_76,847,297,14,108
Rider_Id_373,2639,2173,13.8,663
Rider_Id_701,19,298,12,3
Rider_Id_787,389,297,13.6,30
Rider_Id_99,435,301,13.5,73
Rider_Id_349,615,341,14.7,30
Rider_Id_181,34,291,15,5
Rider_Id_392,2011,2350,14.7,374
Rider_Id_690,505,580,14.1,40
Rider_Id_132,104,302,9.8,9
Rider_Id_305,6,294,0,1
Rider_Id_309,274,293,14.9,36
Rider_Id_495,62,297,15,6
Rider_Id_709,1023,294,14.2,145
Rider_Id_463,38,292,7.8,10
Rider_Id_314,201,306,12.6,21
Rider_Id_177,526,286,13.6,70
Rider_Id_58,2527,1908,14.1,909
Rider_Id_367,621,2196,11.1,21
Rider_Id_732,317,1821,13.5,97
Rider_Id_682,132,291,13,19
Rider_Id_855,886,283,14.5,113
Rider_Id_600,1875,1817,14,822
Rider_Id_233,333,286,13.7,46
Rider_Id_218,187,285,14.2,15
Rider_Id_628,117,278,14.4,18
Rider_Id_652,129,272,11.8,23
Rider_Id_759,15,337,15,2
Rider_Id_170,4628,2255,14,1506
Rider_Id_954,11,276,0,0
Rider_Id_683,17,273,15,6
Rider_Id_613,365,269,13.8,40
Rider_Id_376,30,292,0,1
Rider_Id_484,432,271,13.8,62
Rider_Id_126,261,270,13.5,29
Rider_Id_816,2466,3114,15.1,142
Rider_Id_506,191,278,14.7,19
Rider_Id_780,4,269,0,0
Rider_Id_907,582,273,13.2,42
Rider_Id_129,25,278,15,6
Rider_Id_943,41,269,12,10
Rider_Id_868,488,273,14.4,45
Rider_Id_841,2204,2871,15.1,31
Rider_Id_135,2447,2786,15.1,198
Rider_Id_20,201,271,13.7,19
Rider_Id_306,228,268,15,30
Rider_Id_910,398,266,14,29
Rider_Id_784,2311,2824,15.2,16
Rider_Id_460,9,259,13.5,5
Rider_Id_94,3120,2671,13.2,1125
Rider_Id_77,25,256,13,6
Rider_Id_292,49,255,15,5
Rider_Id_166,173,253,13.5,16
Rider_Id_524,48,256,15,5
Rider_Id_507,209,254,14.5,22
Rider_Id_500,15,251,13.5,5
Rider_Id_7,339,250,14.3,46
Rider_Id_843,583,252,15,58
Rider_Id_435,343,251,14.7,30
Rider_Id_508,172,252,13.7,22
Rider_Id_740,97,250,13.8,10
Rider_Id_850,32,242,12,3
Rider_Id_92,563,251,14.7,41
Rider_Id_760,76,252,15,7
Rider_Id_693,24,240,0,0
Rider_Id_204,456,240,14.5,42
Rider_Id_155,1023,242,12.5,114
Rider_Id_161,718,237,14,83
Rider_Id_695,89,236,13.5,8
Rider_Id_438,557,239,14.6,55
Rider_Id_394,162,237,15,14
Rider_Id_570,222,238,13.2,26
Rider_Id_790,271,236,14.7,32
Rider_Id_525,10,307,0,1
Rider_Id_324,68,231,0,0
Rider_Id_344,396,231,13.9,38
Rider_Id_316,3,231,0,1
Rider_Id_151,38,230,15,3
Rider_Id_710,154,225,15,9
Rider_Id_835,3001,2195,13.7,942
Rider_Id_251,9,226,0,1
Rider_Id_363,44,220,13.5,8
Rider_Id_193,385,225,14.8,48
Rider_Id_641,44,220,15,3
Rider_Id_572,262,222,12.9,20
Rider_Id_815,534,218,14.1,49
Rider_Id_422,312,222,13.2,37
Rider_Id_68,311,214,14.8,29
Rider_Id_924,27,216,15,5
Rider_Id_388,16,220,15,2
Rider_Id_705,49,221,14.3,8
Rider_Id_214,226,2189,15,74
Rider_Id_211,731,198,13.3,54
Rider_Id_921,510,198,14.3,56
Rider_Id_13,3108,3237,14.2,469
Rider_Id_950,8,210,15,3
Rider_Id_3,32,194,9,3
Rider_Id_792,18,195,3,2
Rider_Id_864,393,207,14.8,28
Rider_Id_141,2988,3543,14.2,553
Rider_Id_624,314,184,14.1,24
Rider_Id_930,282,184,12.8,17
Rider_Id_538,308,182,14.1,25
Rider_Id_591,679,183,13.5,61
Rider_Id_9,2265,3101,15.1,31
Rider_Id_745,3,172,0,0
Rider_Id_78,33,183,0,1
Rider_Id_165,487,1579,13.4,188
Rider_Id_298,82,182,13.5,17
Rider_Id_694,31,212,15,2
Rider_Id_502,85,178,14.3,8
Rider_Id_256,28,169,11.1,7
Rider_Id_567,116,175,12.6,10
Rider_Id_689,130,167,15,9
Rider_Id_491,220,167,14.7,30
Rider_Id_582,369,170,13.2,40
Rider_Id_945,1795,2542,14.7,442
Rider_Id_183,213,167,15,27
Rider_Id_27,166,160,14.9,32
Rider_Id_617,42,159,15,4
Rider_Id_610,36,150,15,7
Rider_Id_158,536,157,13.7,55
Rider_Id_821,94,155,14.6,15
Rider_Id_369,200,156,13.3,15
Rider_Id_2,455,152,13.6,51
Rider_Id_602,62,149,6,4
Rider_Id_321,17,152,0,0
Rider_Id_163,889,2817,0,0
Rider_Id_139,676,153,14.4,66
Rider_Id_221,22,142,15,5
Rider_Id_673,314,152,9.6,11
Rider_Id_826,167,138,15,19
Rider_Id_203,8,141,0,0
Rider_Id_542,18,132,12,5
Rider_Id_310,282,326,14.7,46
Rider_Id_706,124,133,15,8
Rider_Id_838,45,138,0,0
Rider_Id_115,10,2214,15,3
Rider_Id_55,267,138,14.7,31
Rider_Id_788,231,139,14.5,25
Rider_Id_146,191,130,13.5,31
Rider_Id_429,123,130,14.8,24
Rider_Id_176,417,136,12.8,34
Rider_Id_162,1574,2273,13.6,209
Rider_Id_42,389,130,14.9,46
Rider_Id_255,24,130,13.5,4
Rider_Id_261,27,129,15,5
Rider_Id_243,273,125,13.9,38
Rider_Id_944,238,127,14,23
Rider_Id_643,265,139,14.4,31
Rider_Id_739,425,129,14.2,49
Rider_Id_894,476,116,14.9,48
Rider_Id_827,59,118,12,4
Rider_Id_109,297,136,14.8,22
Rider_Id_475,42,138,15,2
Rider_Id_36,304,127,12.9,22
Rider_Id_271,301,114,12,24
Rider_Id_35,35,113,15,2
Rider_Id_60,89,111,13.5,9
Rider_Id_133,82,110,15,5
Rider_Id_834,336,111,14.3,35
Rider_Id_481,42,119,15,13
Rider_Id_577,591,300,13.4,47
Rider_Id_766,78,125,14.1,6
Rider_Id_371,250,115,14.8,25
Rider_Id_637,10,106,0,0
Rider_Id_773,5,105,0,0
Rider_Id_891,489,103,13.3,35
Rider_Id_67,55,99,13,6
Rider_Id_492,185,103,15,12
Rider_Id_896,152,99,12.4,18
Rider_Id_149,69,101,10.2,10
Rider_Id_270,338,96,14.4,41
Rider_Id_201,159,96,15,9
Rider_Id_904,172,108,13.7,18
